         0 reset=0 close=0 tenkey=0000000000 key=xxxx lock=x
      1000 reset=1 close=0 tenkey=0000000000 key=ffff lock=0
      1500 reset=1 close=0 tenkey=0000000000 key=ffff lock=0
      2000 reset=0 close=0 tenkey=0000000000 key=ffff lock=0
      6000 reset=0 close=1 tenkey=0000000000 key=ffff lock=0
      6500 reset=0 close=1 tenkey=0000000000 key=ffff lock=1
      7000 reset=0 close=0 tenkey=0000000000 key=ffff lock=1
     11000 reset=0 close=0 tenkey=0100000000 key=ffff lock=1
     12500 reset=0 close=0 tenkey=0100000000 key=fff8 lock=1
     15000 reset=0 close=0 tenkey=0000000000 key=fff8 lock=1
     19000 reset=0 close=0 tenkey=0000100000 key=fff8 lock=1
     20500 reset=0 close=0 tenkey=0000100000 key=ff85 lock=1
     23000 reset=0 close=0 tenkey=0000000000 key=ff85 lock=1
     27000 reset=0 close=0 tenkey=1000000000 key=ff85 lock=1
     28500 reset=0 close=0 tenkey=1000000000 key=f859 lock=1
     31000 reset=0 close=0 tenkey=0000000000 key=f859 lock=1
     35000 reset=0 close=0 tenkey=0001000000 key=f859 lock=1
     36500 reset=0 close=0 tenkey=0001000000 key=8596 lock=1
     39000 reset=0 close=0 tenkey=0000000000 key=8596 lock=1
     43000 reset=0 close=0 tenkey=0000001000 key=8596 lock=1
     44500 reset=0 close=0 tenkey=0000001000 key=5963 lock=1
     45500 reset=0 close=0 tenkey=0000001000 key=5963 lock=0
     47000 reset=0 close=0 tenkey=0000000000 key=5963 lock=0
     51000 reset=0 close=0 tenkey=0000010000 key=5963 lock=0
     52500 reset=0 close=0 tenkey=0000010000 key=9634 lock=0
     55000 reset=0 close=0 tenkey=0000000000 key=9634 lock=0
     59000 reset=0 close=1 tenkey=0000000000 key=9634 lock=0
     59500 reset=0 close=1 tenkey=0000000000 key=ffff lock=1
     60000 reset=0 close=0 tenkey=0000000000 key=ffff lock=1
